index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
145,dass_18_too_emotional,Sensível demais,0,0,1,0,1,0,dass,radio,f,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,EO,"data$dass_18_too_emotional.factor = factor(data$dass_18_too_emotional,levels=c(""0"",""1"",""2"",""3"")) # dass_18_too_emotional 96","levels(data$dass_18_too_emotional.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_18_too_emotional 240",dass21_18,Senti que estava um pouco emotivo/sensível demais,escore_de_depresso_ansiedade_e_estresse,Overly emotional
146,dass_19_palpitation,Alteração cardíaca sem esforço,0,0,1,0,1,0,dass,radio,f,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,EP,"data$dass_19_palpitation.factor = factor(data$dass_19_palpitation,levels=c(""0"",""1"",""2"",""3"")) # dass_19_palpitation 92","levels(data$dass_19_palpitation.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_19_palpitation 238",dass21_19,"Sabia que meu coração estava alterado mesmo não tendo feito nenhum esforço físico (ex. aumento da frequência cardíaca, disritmia cardíaca)",escore_de_depresso_ansiedade_e_estresse,Cardiac alteration without exertion
147,dass_20_fear,Medo sem motivo,0,0,1,0,1,0,dass,radio,f,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,EQ,"data$dass_20_fear.factor = factor(data$dass_20_fear,levels=c(""0"",""1"",""2"",""3"")) # dass_20_fear 78","levels(data$dass_20_fear.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_20_fear 231",dass21_20,Senti medo sem motivo,escore_de_depresso_ansiedade_e_estresse,Fear without reason
148,dass_21_no_meaning,Sentiu que a vida não tinha sentido,0,0,1,0,1,0,dass,radio,f,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,ER,"data$dass_21_no_meaning.factor = factor(data$dass_21_no_meaning,levels=c(""0"",""1"",""2"",""3"")) # dass_21_no_meaning 90","levels(data$dass_21_no_meaning.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_21_no_meaning 237",dass21_21,Senti que a vida não tinha sentido,escore_de_depresso_ansiedade_e_estresse,Felt life had no meaning
149,dass_score_depression,Resultado DASS-21 Depressão,1,0,1,0,1,0,dass,text,c,,,,,,,," @CALCTEXT((sum([dass21_3:value], [dass21_5:value], [dass21_10:value], [dass21_13:value], [dass21_16:value], [dass21_17:value], [dass21_21:value]))*2)
@HIDDEN",ES,,,dass_depression,DASS-21 Depression Result,escore_de_depresso_ansiedade_e_estresse,DASS-21 Depression score
150,dass_score_anxiety,Resultado DASS-21 Ansiedade,1,0,1,0,1,0,dass,text,c,,,,,,,," @CALCTEXT((sum([dass21_2:value], [dass21_4:value], [dass21_7:value], [dass21_9:value], [dass21_15:value], [dass21_19:value], [dass21_20:value]))*2)
@HIDDEN",ET,,,dass_anxiety,"DASS-21 Anxiety Result	",escore_de_depresso_ansiedade_e_estresse,DASS-21 Anxiety score
151,dass_score_stress,Resultado DASS-21 Stress,1,0,1,0,1,0,dass,text,c,,,,,,,," @CALCTEXT((sum([dass21_1:value], [dass21_6:value], [dass21_8:value], [dass21_11:value], [dass21_12:value], [dass21_14:value], [dass21_18:value]))*2)
@HIDDEN",EU,,,dass_stress,"DASS-21 Stress Result	",escore_de_depresso_ansiedade_e_estresse,DASS-21 Stress score
152,dass21_upload,Upload DASS-21,0,0,1,0,1,0,dass,file,c,,,,,,,, @HIDDEN-SURVEY,EV,,,dass21_upload,PDF upload,escore_de_depresso_ansiedade_e_estresse,DASS-21 PDF Upload
153,dass_complete,Formulário escore_de_depresso_ansiedade_e_estresse completo?,0,0,1,0,1,0,dass,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,EW,"data$dass_complete.factor = factor(data$dass_complete,levels=c(""0"",""1"",""2"")) # dass_complete 76","levels(data$dass_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # dass_complete 73",escore_de_depresso_ansiedade_e_estresse_complete,Complete?,escore_de_depresso_ansiedade_e_estresse,Form escore_de_depresso_ansiedade_e_estresse complete?
154,ecap_timestamp,Timestamp pesquisa,0,0,1,0,1,0,ecap,text,T,,,datetime_dmy,,,,,,EX,,,escala_de_compulso_alimentar_timestamp,Survey Timestamp,escala_de_compulso_alimentar,Survey timestamp
155,ecap1,ecap1,0,0,1,0,1,0,ecap,radio,f,"1, Eu não me sinto constrangido(a) com o meu peso ou o tamanho do meu corpo quando estou com outras pessoas. | 2, Eu me sinto preocupado(a) em como pareço para os outros, mas isto, normalmente, não me faz sentir desapontado(a) comigo mesmo(a). | 3, Eu fico mesmo constrangido(a) com a minha aparência e o meu peso, o que me faz sentir desapontado(a) comigo mesmo(a). | 4, Eu me sinto muito constrangido(a) com o meu peso e, freqüentemente, sinto muita vergonha e desprezo por mim mesmo(a). Tento evitar contatos sociais por causa desse constrangimento.",,,,,,y,,EY,"data$ecap1.factor = factor(data$ecap1,levels=c(""1"",""2"",""3"",""4"")) # ecap1 64","levels(data$ecap1.factor)=c(""Eu não me sinto constrangido(a) com o meu peso ou o tamanho do meu corpo quando estou com outras pessoas."",""Eu me sinto preocupado(a) em como pareço para os outros, mas isto, normalmente, não me faz sentir desapontado(a) comigo mesmo(a)."",""Eu fico mesmo constrangido(a) com a minha aparência e o meu peso, o que me faz sentir desapontado(a) comigo mesmo(a)."",""Eu me sinto muito constrangido(a) com o meu peso e, freqüentemente, sinto muita vergonha e desprezo por mim mesmo(a). Tento evitar contatos sociais por causa desse constrangimento."") # ecap1 571",ecap1,#1,escala_de_compulso_alimentar,bes1
156,ecap2,ecap2,0,0,1,0,1,0,ecap,radio,f,"1, Eu não tenho nenhuma dificuldade para comer devagar, de maneira | 2, Embora pareça que eu devore os alimentos, não acabo me sentindo empanturrado(a) por comer demais. | 3, Às vezes tendo a comer rapidamente, sentindo-me então desconfortavelmente cheio(a) depois. | 4, Eu tenho o hábito de engolir minha comida sem realmente mastigá- la. Quando isto acontece, em geral me sinto desconfortavelmente empanturrado(a) por ter comido demais.",,,,,,y,,EZ,"data$ecap2.factor = factor(data$ecap2,levels=c(""1"",""2"",""3"",""4"")) # ecap2 64","levels(data$ecap2.factor)=c(""Eu não tenho nenhuma dificuldade para comer devagar, de maneira"",""Embora pareça que eu devore os alimentos, não acabo me sentindo empanturrado(a) por comer demais."",""Às vezes tendo a comer rapidamente, sentindo-me então desconfortavelmente cheio(a) depois."",""Eu tenho o hábito de engolir minha comida sem realmente mastigá- la. Quando isto acontece, em geral me sinto desconfortavelmente empanturrado(a) por ter comido demais."") # ecap2 457",ecap2,#2,escala_de_compulso_alimentar,bes2
157,ecap3,ecap3,0,0,1,0,1,0,ecap,radio,f,"1, Eu me sinto capaz de controlar meus impulsos para comer, quando eu quero. | 2, Eu sinto que tenho falhado em controlar meu comportamento alimentar mais do que a média das pessoas. | 3, Eu me sinto totalmente incapaz de controlar meus impulsos para comer. | 4, Por me sentir tão incapaz de controlar meu comportamento alimentar, entro em desespero tentando manter o controle.",,,,,,y,,FA,"data$ecap3.factor = factor(data$ecap3,levels=c(""1"",""2"",""3"",""4"")) # ecap3 64","levels(data$ecap3.factor)=c(""Eu me sinto capaz de controlar meus impulsos para comer, quando eu quero."",""Eu sinto que tenho falhado em controlar meu comportamento alimentar mais do que a média das pessoas."",""Eu me sinto totalmente incapaz de controlar meus impulsos para comer."",""Por me sentir tão incapaz de controlar meu comportamento alimentar, entro em desespero tentando manter o controle."") # ecap3 396",ecap3,#3,escala_de_compulso_alimentar,bes3
158,ecap4,ecap4,0,0,1,0,1,0,ecap,radio,f,"1, Eu não tenho o hábito de comer quando estou chateado(a). | 2, Às vezes eu como quando estou chateado(a) mas, freqüentemente, sou capaz de me ocupar e afastar minha mente da comida. | 3, Eu tenho o hábito regular de comer quando estou chateado(a) mas, de vez em quando, posso usar alguma outra atividade para afastar minha mente da comida | 4, Eu tenho o forte hábito de comer quando estou chateado(a). Nada parece me ajudar a parar com esse hábito",,,,,,y,,FB,"data$ecap4.factor = factor(data$ecap4,levels=c(""1"",""2"",""3"",""4"")) # ecap4 64","levels(data$ecap4.factor)=c(""Eu não tenho o hábito de comer quando estou chateado(a)."",""Às vezes eu como quando estou chateado(a) mas, freqüentemente, sou capaz de me ocupar e afastar minha mente da comida."",""Eu tenho o hábito regular de comer quando estou chateado(a) mas, de vez em quando, posso usar alguma outra atividade para afastar minha mente da comida"",""Eu tenho o forte hábito de comer quando estou chateado(a). Nada parece me ajudar a parar com esse hábito"") # ecap4 469",ecap4,#4,escala_de_compulso_alimentar,bes4
159,ecap5,ecap5,0,0,1,0,1,0,ecap,radio,f,"1, Normalmente quando como alguma coisa é porque estou fisicamente com fome. | 2, De vez em quando como alguma coisa por impulso, mesmo quando não estou realmente com fome. | 3, Eu tenho o hábito regular de comer alimentos que realmente não aprecio para satisfazer uma sensação de fome, mesmo que fisicamente eu não necessite de comida. | 4, Mesmo que não esteja fisicamente com fome, tenho uma sensação de fome em minha boca que somente parece ser satisfeita quando eu como um alimento, tipo um sanduíche, que enche a minha boca. Às vezes, quando eu como o alimento para satisfazer minha ""fome na boca"", em seguida eu o cuspo, assim não ganharei peso.",,,,,,y,,FC,"data$ecap5.factor = factor(data$ecap5,levels=c(""1"",""2"",""3"",""4"")) # ecap5 64","levels(data$ecap5.factor)=c(""Normalmente quando como alguma coisa é porque estou fisicamente com fome."",""De vez em quando como alguma coisa por impulso, mesmo quando não estou realmente com fome."",""Eu tenho o hábito regular de comer alimentos que realmente não aprecio para satisfazer uma sensação de fome, mesmo que fisicamente eu não necessite de comida."",""Mesmo que não esteja fisicamente com fome, tenho uma sensação de fome em minha boca que somente parece ser satisfeita quando eu como um alimento, tipo um sanduíche, que enche a minha boca. Às vezes, quando eu como o alimento para satisfazer minha fome na boca, em seguida eu o cuspo, assim não ganharei peso."") # ecap5 669",ecap5,#5,escala_de_compulso_alimentar,bes5
160,ecap6,ecap6,0,0,1,0,1,0,ecap,radio,f,"1, Eu não sinto qualquer culpa ou ódio de mim mesmo(a) depois de comer demais. | 2, De vez em quando sinto culpa ou ódio de mim mesmo(a) depois de comer demais. | 3, Quase o tempo todo sinto muita culpa ou ódio de mim mesmo(a) depois de comer demais.",,,,,,y,,FD,"data$ecap6.factor = factor(data$ecap6,levels=c(""1"",""2"",""3"")) # ecap6 60","levels(data$ecap6.factor)=c(""Eu não sinto qualquer culpa ou ódio de mim mesmo(a) depois de comer demais."",""De vez em quando sinto culpa ou ódio de mim mesmo(a) depois de comer demais."",""Quase o tempo todo sinto muita culpa ou ódio de mim mesmo(a) depois de comer demais."") # ecap6 272",ecap6,#6,escala_de_compulso_alimentar,bes6
161,ecap7,ecap7,0,0,1,0,1,0,ecap,radio,f,"1, Eu não perco o controle total da minha alimentação quando estou em dieta, mesmo após períodos em que como demais. | 2, Às vezes, quando estou em dieta e como um alimento proibido, sinto como se tivesse estragado tudo e como ainda mais. | 3, Freqüentemente, quando como demais durante uma dieta, tenho o hábito de dizer para mim mesmo(a): ""agora que estraguei tudo, porque não irei até o fim"". Quando isto acontece, eu como ainda mais. | 4, Eu tenho o hábito regular de começar dietas rigorosas por mim mesmo(a), mas quebro as dietas entrando numa compulsão alimentar. Minha vida parece ser ""uma festa"" ou ""um morrer de fome"".",,,,,,y,,FE,"data$ecap7.factor = factor(data$ecap7,levels=c(""1"",""2"",""3"",""4"")) # ecap7 64","levels(data$ecap7.factor)=c(""Eu não perco o controle total da minha alimentação quando estou em dieta, mesmo após períodos em que como demais."",""Às vezes, quando estou em dieta e como um alimento proibido, sinto como se tivesse estragado tudo e como ainda mais."",""Freqüentemente, quando como demais durante uma dieta, tenho o hábito de dizer para mim mesmo(a): agora que estraguei tudo, porque não irei até o fim. Quando isto acontece, eu como ainda mais."",""Eu tenho o hábito regular de começar dietas rigorosas por mim mesmo(a), mas quebro as dietas entrando numa compulsão alimentar. Minha vida parece ser uma festa ou um morrer de fome."") # ecap7 641",ecap7,#7,escala_de_compulso_alimentar,bes7
162,ecap8,ecap8,0,0,1,0,1,0,ecap,radio,f,"1, Eu raramente como tanta comida a ponto de me sentir desconfortavelmente empanturrado(a) depois. | 2, Normalmente, cerca de uma vez por mês, como uma tal quantidade de comida que acabo me sentindo muito empanturrado(a). | 3, Eu tenho períodos regulares durante o mês, quando como grandes quantidades de comida, seja na hora das refeições, seja nos lanches. | 4, Eu como tanta comida que, regularmente, me sinto bastante desconfortável depois de comer e, algumas vezes, um pouco enjoado(a).",,,,,,y,,FF,"data$ecap8.factor = factor(data$ecap8,levels=c(""1"",""2"",""3"",""4"")) # ecap8 64","levels(data$ecap8.factor)=c(""Eu raramente como tanta comida a ponto de me sentir desconfortavelmente empanturrado(a) depois."",""Normalmente, cerca de uma vez por mês, como uma tal quantidade de comida que acabo me sentindo muito empanturrado(a)."",""Eu tenho períodos regulares durante o mês, quando como grandes quantidades de comida, seja na hora das refeições, seja nos lanches."",""Eu como tanta comida que, regularmente, me sinto bastante desconfortável depois de comer e, algumas vezes, um pouco enjoado(a)."") # ecap8 510",ecap8,#8,escala_de_compulso_alimentar,bes8
163,ecap9,ecap9,0,0,1,0,1,0,ecap,radio,f,"1, Em geral, minha ingesta calórica não sobe a níveis muito altos, nem desce a níveis muito baixos. | 2, Às vezes, depois de comer demais, tento reduzir minha ingesta calórica para quase nada, para compensar o excesso de calorias que ingeri. | 3, Eu tenho o hábito regular de comer demais durante a noite. Parece que a minha rotina não é estar com fome de manhã, mas comer demais à noite. | 4, Na minha vida adulta tenho tido períodos, que duram semanas, nos quais praticamente me mato de fome. Isto se segue a períodos em que como demais. Parece que vivo uma vida de ""festa"" ou de ""morrer de fome"".",,,,,,y,,FG,"data$ecap9.factor = factor(data$ecap9,levels=c(""1"",""2"",""3"",""4"")) # ecap9 64","levels(data$ecap9.factor)=c(""Em geral, minha ingesta calórica não sobe a níveis muito altos, nem desce a níveis muito baixos."",""Às vezes, depois de comer demais, tento reduzir minha ingesta calórica para quase nada, para compensar o excesso de calorias que ingeri."",""Eu tenho o hábito regular de comer demais durante a noite. Parece que a minha rotina não é estar com fome de manhã, mas comer demais à noite."",""Na minha vida adulta tenho tido períodos, que duram semanas, nos quais praticamente me mato de fome. Isto se segue a períodos em que como demais. Parece que vivo uma vida de festa ou de morrer de fome."") # ecap9 614",ecap9,#9,escala_de_compulso_alimentar,bes9
164,ecap10,ecap10,0,0,1,0,1,0,ecap,radio,f,"1, Normalmente eu sou capaz de parar de comer quando quero. Eu sei quando ""já chega"". | 2, De vez em quando, eu tenho uma compulsão para comer que parece que não posso controlar. | 3, Freqüentemente tenho fortes impulsos para comer que parece que não sou capaz de controlar, mas, em outras ocasiões, posso controlar meus impulsos para comer. | 4, Eu me sinto incapaz de controlar impulsos para comer. Eu tenho medo de não ser capaz de parar de comer por vontade própria.",,,,,,y,,FH,"data$ecap10.factor = factor(data$ecap10,levels=c(""1"",""2"",""3"",""4"")) # ecap10 66","levels(data$ecap10.factor)=c(""Normalmente eu sou capaz de parar de comer quando quero. Eu sei quando já chega."",""De vez em quando, eu tenho uma compulsão para comer que parece que não posso controlar."",""Freqüentemente tenho fortes impulsos para comer que parece que não sou capaz de controlar, mas, em outras ocasiões, posso controlar meus impulsos para comer."",""Eu me sinto incapaz de controlar impulsos para comer. Eu tenho medo de não ser capaz de parar de comer por vontade própria."") # ecap10 488",ecap10,#10,escala_de_compulso_alimentar,bes10
165,ecap11,ecap11,0,0,1,0,1,0,ecap,radio,f,"1, Eu não tenho problema algum para parar de comer quando me sinto cheio(a). | 2, Eu, normalmente, posso parar de comer quando me sinto cheio(a) mas, de vez em quando, comer demais me deixa desconfortavelmente empanturrado(a). | 3, Eu tenho um problema para parar de comer uma vez que eu tenha começado e, normalmente, sinto-me desconfortavelmente empanturrado(a) depois que faço uma refeição. | 4, Por eu ter o problema de não ser capaz de parar de comer quando quero, às vezes tenho que provocar o vômito, usar laxativos e/ou diuréticos para aliviar minha sensação de empanturramento.",,,,,,y,,FI,"data$ecap11.factor = factor(data$ecap11,levels=c(""1"",""2"",""3"",""4"")) # ecap11 66","levels(data$ecap11.factor)=c(""Eu não tenho problema algum para parar de comer quando me sinto cheio(a)."",""Eu, normalmente, posso parar de comer quando me sinto cheio(a) mas, de vez em quando, comer demais me deixa desconfortavelmente empanturrado(a)."",""Eu tenho um problema para parar de comer uma vez que eu tenha começado e, normalmente, sinto-me desconfortavelmente empanturrado(a) depois que faço uma refeição."",""Por eu ter o problema de não ser capaz de parar de comer quando quero, às vezes tenho que provocar o vômito, usar laxativos e/ou diuréticos para aliviar minha sensação de empanturramento."") # ecap11 606",ecap11,#11,escala_de_compulso_alimentar,bes11
166,ecap12,ecap12,0,0,1,0,1,0,ecap,radio,f,"1, Parece que eu como tanto quando estou com os outros (reuniões familiares, sociais), como quando estou sozinho(a). | 2, Às vezes, quando eu estou com outras pessoas, não como tanto quanto eu quero comer porque me sinto constrangido(a) com o meu comportamento alimentar. | 3, Freqüentemente eu como só uma pequena quantidade de comida quando outros estão presentes, pois me sinto muito embaraçado(a) com o meu comportamento alimentar. | 4, Eu me sinto tão envergonhado(a) por comer demais que escolho horas para comer demais quando sei que ninguém me verá. Eu me sinto como uma pessoa que se esconde para comer.",,,,,,y,,FJ,"data$ecap12.factor = factor(data$ecap12,levels=c(""1"",""2"",""3"",""4"")) # ecap12 66","levels(data$ecap12.factor)=c(""Parece que eu como tanto quando estou com os outros (reuniões familiares, sociais), como quando estou sozinho(a)."",""Às vezes, quando eu estou com outras pessoas, não como tanto quanto eu quero comer porque me sinto constrangido(a) com o meu comportamento alimentar."",""Freqüentemente eu como só uma pequena quantidade de comida quando outros estão presentes, pois me sinto muito embaraçado(a) com o meu comportamento alimentar."",""Eu me sinto tão envergonhado(a) por comer demais que escolho horas para comer demais quando sei que ninguém me verá. Eu me sinto como uma pessoa que se esconde para comer."") # ecap12 632",ecap12,#12,escala_de_compulso_alimentar,bes12
167,ecap13,ecap13,0,0,1,0,1,0,ecap,radio,f,"1, Eu faço três refeições ao dia com apenas um lanche ocasional entre as refeições. | 2, Eu faço três refeições ao dia mas, normalmente, também lancho entre as refeições. | 3, Quando eu faço lanches pesados, tenho o hábito de pular as refeições regulares. | 4, Há períodos regulares em que parece que eu estou continuamente comendo, sem refeições planejadas.",,,,,,y,,FK,"data$ecap13.factor = factor(data$ecap13,levels=c(""1"",""2"",""3"",""4"")) # ecap13 66","levels(data$ecap13.factor)=c(""Eu faço três refeições ao dia com apenas um lanche ocasional entre as refeições."",""Eu faço três refeições ao dia mas, normalmente, também lancho entre as refeições."",""Quando eu faço lanches pesados, tenho o hábito de pular as refeições regulares."",""Há períodos regulares em que parece que eu estou continuamente comendo, sem refeições planejadas."") # ecap13 378",ecap13,#13,escala_de_compulso_alimentar,bes13
168,ecap14,ecap14,0,0,1,0,1,0,ecap,radio,f,"1, Eu não penso muito em tentar controlar impulsos indesejáveis para comer. | 2, Pelo menos, em algum momento, sinto que meus pensamentos estão ""pré-ocupados"" com tentar controlar meus impulsos para comer. | 3, Freqüentemente, sinto que gasto muito tempo pensando no quanto comi ou tentando não comer mais. | 4, Parece, para mim, que a maior parte das horas que passo acordado(a) estão ""pré-ocupadas"" por pensamentos sobre comer ou não comer. Sinto como se eu estivesse constantemente lutando para não comer.",,,,,,y,,FL,"data$ecap14.factor = factor(data$ecap14,levels=c(""1"",""2"",""3"",""4"")) # ecap14 66","levels(data$ecap14.factor)=c(""Eu não penso muito em tentar controlar impulsos indesejáveis para comer."",""Pelo menos, em algum momento, sinto que meus pensamentos estão pré-ocupados com tentar controlar meus impulsos para comer."",""Freqüentemente, sinto que gasto muito tempo pensando no quanto comi ou tentando não comer mais."",""Parece, para mim, que a maior parte das horas que passo acordado(a) estão pré-ocupadas por pensamentos sobre comer ou não comer. Sinto como se eu estivesse constantemente lutando para não comer."") # ecap14 524",ecap14,#14,escala_de_compulso_alimentar,bes14
169,ecap15,ecap15,0,0,1,0,1,0,ecap,radio,f,"1, Eu não penso muito sobre comida. | 2, Eu tenho fortes desejos por comida, mas eles só duram curtos períodos de tempo. | 3, Há dias em que parece que eu não posso pensar em mais nada a não ser comida. | 4, Na maioria dos dias, meus pensamentos parecem estar ""pré-ocupados"" com comida. Sinto como se eu vivesse para comer.",,,,,,y,,FM,"data$ecap15.factor = factor(data$ecap15,levels=c(""1"",""2"",""3"",""4"")) # ecap15 66","levels(data$ecap15.factor)=c(""Eu não penso muito sobre comida."",""Eu tenho fortes desejos por comida, mas eles só duram curtos períodos de tempo."",""Há dias em que parece que eu não posso pensar em mais nada a não ser comida."",""Na maioria dos dias, meus pensamentos parecem estar pré-ocupados com comida. Sinto como se eu vivesse para comer."") # ecap15 341",ecap15,#15,escala_de_compulso_alimentar,bes15
170,ecap16,ecap16,0,0,1,0,1,0,ecap,radio,f,"1, Eu normalmente sei se estou ou não fisicamente com fome. Eu como a porção certa de comida para me satisfazer. | 2, De vez em quando eu me sinto em dúvida para saber se estou ou não fisicamente com fome. Nessas ocasiões é difícil saber quanto eu deveria comer para me satisfazer. | 3, Mesmo que se eu pudesse saber quantas calorias eu deveria ingerir, não teria idéia alguma de qual seria a quantidade ""normal"" de comida para mim.",,,,,,y,,FN,"data$ecap16.factor = factor(data$ecap16,levels=c(""1"",""2"",""3"")) # ecap16 62","levels(data$ecap16.factor)=c(""Eu normalmente sei se estou ou não fisicamente com fome. Eu como a porção certa de comida para me satisfazer."",""De vez em quando eu me sinto em dúvida para saber se estou ou não fisicamente com fome. Nessas ocasiões é difícil saber quanto eu deveria comer para me satisfazer."",""Mesmo que se eu pudesse saber quantas calorias eu deveria ingerir, não teria idéia alguma de qual seria a quantidade normal de comida para mim."") # ecap16 453",ecap16,#16,escala_de_compulso_alimentar,bes16
171,ecap_response_date,Data resposta ECAP,0,0,1,0,1,0,ecap,text,D,,,date_dmy,,,,y, @HIDDEN-SURVEY,FO,,,data_ecap,Data que o participante respondeu o questionário:,escala_de_compulso_alimentar,ECAP response date
172,ecap_1_body_image,Escore ECAP imagem corporal,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap1] = '1',0,if([ecap1] = '2',0,if([ecap1] = '3',1,if([ecap1] = '4',3,'')))))",FP,,,ecap_score_1,ECAP SCORE,escala_de_compulso_alimentar,ECAP body image score
173,ecap_2_eating_speed,Escore ECAP velocidade de comer,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap2] = '1',0,if([ecap2] = '2',1,if([ecap2] = '3',2,if([ecap2] = '4',3,'')))))",FQ,,,ecap_score_2,ECAP SCORE,escala_de_compulso_alimentar,ECAP eating speed score
174,ecap_3_impulse,Escore ECAP impulso,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap3] = '1',0,if([ecap3] = '2',1,if([ecap3] = '3',3,if([ecap3] = '4',3,'')))))",FR,,,ecap_score_3,ECAP SCORE,escala_de_compulso_alimentar,ECAP impulse score
175,ecap_4_emotional_eating,Escore ECAP comer emocional,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap4] = '1',0,if([ecap4] = '2',0,if([ecap4] = '3',0,if([ecap4] = '4',2,'')))))",FS,,,ecap_score_4,ECAP SCORE,escala_de_compulso_alimentar,ECAP emotional eating score
176,ecap_5_hunger,Escore ECAP fome,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap5] = '1',0,if([ecap5] = '2',1,if([ecap5] = '3',2,if([ecap5] = '4',3,'')))))",FT,,,ecap_score_5,ECAP SCORE 5,escala_de_compulso_alimentar,ECAP hunger score
177,ecap_6_guilt,Escore ECAP culpa,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap6] = '1',0,if([ecap6] = '2',1,if([ecap6] = '3',3,'')))))",FU,,,ecap_score_6,ECAP SCORE 6,escala_de_compulso_alimentar,ECAP guilt score
178,ecap_7_diet_failure,Escore ECAP falha na dieta,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap7] = '1',0,if([ecap7] = '2',2,if([ecap7] = '3',3,if([ecap7] = '4',3,'')))))",FV,,,ecap_score_7,ECAP SCORE 7,escala_de_compulso_alimentar,ECAP diet failure score
179,ecap_8_binge_quantity,Escore ECAP quantidade exagerada,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap8] = '1',0,if([ecap8] = '2',1,if([ecap8] = '3',2,if([ecap8] = '4',3,'')))))",FW,,,ecap_score_8,ECAP SCORE 8,escala_de_compulso_alimentar,ECAP binge quantity score
180,ecap_9_compensate,Escore ECAP compensação,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap9] = '1',0,if([ecap9] = '2',1,if([ecap9] = '3',2,if([ecap9] = '4',3,'')))))",FX,,,ecap_score_9,ECAP SCORE 9,escala_de_compulso_alimentar,ECAP compensation score
181,ecap_10_control,Escore ECAP controle,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap10] = '1',0,if([ecap10] = '2',1,if([ecap10] = '3',2,if([ecap10] = '4',3,'')))))",FY,,,ecap_score_10,ECAP SCORE 10,escala_de_compulso_alimentar,ECAP control score
182,ecap_11_fullness,Escore ECAP saciedade,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap11] = '1',0,if([ecap11] = '2',1,if([ecap11] = '3',2,if([ecap11] = '4',3,'')))))",FZ,,,ecap_score_11,ECAP SCORE 11,escala_de_compulso_alimentar,ECAP fullness score
183,ecap_12_social_eating,Escore ECAP comer socialmente,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap12] = '1',0,if([ecap12] = '2',1,if([ecap12] = '3',2,if([ecap12] = '4',3,'')))))",GA,,,ecap_score_12,ECAP SCORE 12,escala_de_compulso_alimentar,ECAP social eating score
