variable_order,variable_original,variable_recoded,label_original,label_pt,label_en,form_name_pt,form_name_en,field_type,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Field Annotation,eleg_arm_1,1visit_arm_1,2visit_arm_1,3visit_arm_1,Variable column (Original),Included,Factor,Level_pt
101,wb_11,whoqol_11_appearance,Você é capaz de aceitar sua aparência física?,Aceitação da aparência,Acceptance of Appearance,questionrio_qualidade_de_vida,whoqol,radio,"1, Nada | 2, Muito pouco | 3, Médio | 4, Muito | 5, Completamente",,,,,,y,,,1,,1,CW,1,"data$whoqol_11_appearance.factor = factor(data$whoqol_11_appearance,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_11_appearance 98","levels(data$whoqol_11_appearance.factor)=c(""Nada"",""Muito pouco"",""Médio"",""Muito"",""Completamente"") # whoqol_11_appearance 96"
102,wb_12,whoqol_12_finances,Você tem dinheiro suficiente para satisfazer suas necessidades?,Suficiência financeira,Financial Sufficiency,questionrio_qualidade_de_vida,whoqol,radio,"1, Nada | 2, Muito pouco | 3, Médio | 4, Muito | 5, Completamente",,,,,,y,,,1,,1,CX,1,"data$whoqol_12_finances.factor = factor(data$whoqol_12_finances,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_12_finances 94","levels(data$whoqol_12_finances.factor)=c(""Nada"",""Muito pouco"",""Médio"",""Muito"",""Completamente"") # whoqol_12_finances 94"
103,wb_13,whoqol_13_information,Quão disponíveis para você estão as informações que precisa no seu dia-a-dia?,Acesso à informação,Access to Information,questionrio_qualidade_de_vida,whoqol,radio,"1, Nada | 2, Muito pouco | 3, Médio | 4, Muito | 5, Completamente",,,,,,y,,,1,,1,CY,1,"data$whoqol_13_information.factor = factor(data$whoqol_13_information,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_13_information 100","levels(data$whoqol_13_information.factor)=c(""Nada"",""Muito pouco"",""Médio"",""Muito"",""Completamente"") # whoqol_13_information 97"
104,wb_14,whoqol_14_leisure,Em que medida você tem oportunidades de atividade de lazer?,Oportunidades de lazer,Leisure Opportunities,questionrio_qualidade_de_vida,whoqol,radio,"1, Nada | 2, Muito pouco | 3, Médio | 4, Muito | 5, Completamente",,,,,,y,,,1,,1,CZ,1,"data$whoqol_14_leisure.factor = factor(data$whoqol_14_leisure,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_14_leisure 92","levels(data$whoqol_14_leisure.factor)=c(""Nada"",""Muito pouco"",""Médio"",""Muito"",""Completamente"") # whoqol_14_leisure 93"
105,wb_15,whoqol_15_mobility,Quão bem você é capaz de se locomover?,Capacidade de locomoção,Ability to Move,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DA,1,"data$whoqol_15_mobility.factor = factor(data$whoqol_15_mobility,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_15_mobility 94","levels(data$whoqol_15_mobility.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_15_mobility 98"
106,wb_16,whoqol_16_sleep,Quão satisfeito(a) você está com o seu sono?,Satisfação com sono,Satisfaction with Sleep,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DB,1,"data$whoqol_16_sleep.factor = factor(data$whoqol_16_sleep,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_16_sleep 88","levels(data$whoqol_16_sleep.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_16_sleep 95"
107,wb_17,whoqol_17_activities,Quão satisfeito(a) você está com sua capacidade de desempenhar as atividades do seu dia-a-dia?,Satisfação com atividades diárias,Satisfaction with Daily Activities,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DC,1,"data$whoqol_17_activities.factor = factor(data$whoqol_17_activities,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_17_activities 98","levels(data$whoqol_17_activities.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_17_activities 100"
108,wb_18,whoqol_18_work,Quão satisfeito(a) você está com sua capacidade para o trabalho?,Satisfação com trabalho,Satisfaction with Work,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DD,1,"data$whoqol_18_work.factor = factor(data$whoqol_18_work,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_18_work 86","levels(data$whoqol_18_work.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_18_work 94"
109,wb_19,whoqol_19_selfesteem,Quão satisfeito(a) você está consigo mesmo?,Satisfação com autoestima,Satisfaction with Self-esteem,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DE,1,"data$whoqol_19_selfesteem.factor = factor(data$whoqol_19_selfesteem,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_19_selfesteem 98","levels(data$whoqol_19_selfesteem.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_19_selfesteem 100"
110,wb_20,whoqol_20_relationships,"Quão satisfeito(a) você está com suas relações pessoais (amigos, parentes, conhecidos, colegas)?",Satisfação com relações pessoais,Satisfaction with personal relationships,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DF,1,"data$whoqol_20_relationships.factor = factor(data$whoqol_20_relationships,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_20_relationships 104","levels(data$whoqol_20_relationships.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_20_relationships 103"
111,wb_21,whoqol_21_sexual,Quão satisfeito(a) você está com sua vida sexual?,Satisfação com vida sexual,Satisfaction with sexual life,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DG,1,"data$whoqol_21_sexual.factor = factor(data$whoqol_21_sexual,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_21_sexual 90","levels(data$whoqol_21_sexual.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_21_sexual 96"
112,wb_22,whoqol_22_support,Quão satisfeito(a) você está com o apoio que você recebe de seus amigos?,Apoio dos amigos,Support from friends,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DH,1,"data$whoqol_22_support.factor = factor(data$whoqol_22_support,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_22_support 92","levels(data$whoqol_22_support.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_22_support 97"
113,wb_23,whoqol_23_housing,Quão satisfeito(a) você está com as condições do local onde mora?,Satisfação com moradia,Satisfaction with housing,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DI,1,"data$whoqol_23_housing.factor = factor(data$whoqol_23_housing,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_23_housing 92","levels(data$whoqol_23_housing.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_23_housing 97"
114,wb_24,whoqol_24_health_services,Quão satisfeito(a) você está com o seu acesso aos serviços de saúde?,Satisfação com saúde,Satisfaction with healthcare services,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DJ,1,"data$whoqol_24_health_services.factor = factor(data$whoqol_24_health_services,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_24_health_services 108","levels(data$whoqol_24_health_services.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_24_health_services 105"
115,wb_25,whoqol_25_transport,Quão satisfeito(a) você está com o seu meio de transporte?,Satisfação com transporte,Satisfaction with transportation,questionrio_qualidade_de_vida,whoqol,radio,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,,1,,1,DK,1,"data$whoqol_25_transport.factor = factor(data$whoqol_25_transport,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_25_transport 96","levels(data$whoqol_25_transport.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_25_transport 99"
116,wb_26,whoqol_26_negativity,"Com que frequência você tem sentimentos negativos tais como mau humores, desespero, ansiedade, depressão?",Sentimentos negativos,Negative feelings,questionrio_qualidade_de_vida,whoqol,radio,"1, Nunca | 2, Algumas vezes | 3, Frequentemente | 4, Muito frequentemente | 5, Sempre",,,,,,y,,,1,,1,DL,1,"data$whoqol_26_negativity.factor = factor(data$whoqol_26_negativity,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_26_negativity 98","levels(data$whoqol_26_negativity.factor)=c(""Nunca"",""Algumas vezes"",""Frequentemente"",""Muito frequentemente"",""Sempre"") # whoqol_26_negativity 116"
117,whoqol_how,whoqol_needed_help,Alguém te ajudou a preencher este questionário?,Ajuda no preenchimento,Help with filling out the form,questionrio_qualidade_de_vida,whoqol,radio,"0, Não precisei de ajuda | 1, Um pesquisador me ajudou relendo alguma pergunta que eu não entendi | 99, O questionário foi administrado por um pesquisador",,,,,,y,,,1,,1,DM,1,"data$whoqol_needed_help.factor = factor(data$whoqol_needed_help,levels=c(""0"",""1"",""99"")) # whoqol_needed_help 87","levels(data$whoqol_needed_help.factor)=c(""Não precisei de ajuda"",""Um pesquisador me ajudou relendo alguma pergunta que eu não entendi"",""O questionário foi administrado por um pesquisador"") # whoqol_needed_help 188"
118,whoqol_a_v2,whoqol_comment,Você tem algum comentário sobre o questionário?,Comentário questionário WHOQOL,WHOQOL questionnaire comments,questionrio_qualidade_de_vida,whoqol,notes,,,,,,,,,,1,,1,DN,0,,
119,wb_1_score,whoqol_score_overall,General quality of life: Score,Qualidade de vida geral,Overall quality of life,questionrio_qualidade_de_vida,whoqol,text,,,,,,,," @CALCTEXT(if([wb_1] = '','',(([wb_1:value]*4)-4)*(100/16)))
@HIDDEN",,1,,1,DO,1,,
120,wb_2_score,whoqol_score_health,"General health: Score	",Saúde geral,General health score,questionrio_qualidade_de_vida,whoqol,text,,,,,,,," @CALCTEXT(if([wb_2]='','',(([wb_2:value]*4)-4)*(100/16)))
@HIDDEN",,1,,1,DP,1,,
121,wb_physical,whoqol_score_physical,"Physical domain	",Domínio físico,Physical domain score,questionrio_qualidade_de_vida,whoqol,text,,,,,,,," @CALCTEXT(if([wb_3]='' or [wb_4]='' or [wb_10]='' or [wb_15]='' or [wb_16]='' or [wb_17]='' or [wb_18]='','',((((sum((6-[wb_3:value]),(6-[wb_4:value]),[wb_10:value],[wb_15:value],[wb_16:value],[wb_17:value],[wb_18:value]))*4)/7)-4)*(100/16)))
@HIDDEN",,1,,1,DQ,1,,
122,wb_psychological,whoqol_score_psychological,"Psychological domain	",Domínio psicológico,Psychological domain score,questionrio_qualidade_de_vida,whoqol,text,,,,,,,," @CALCTEXT(if([wb_5]='' or [wb_6]='' or [wb_7]='' or [wb_11]='' or [wb_19]='' or [wb_26]='','',(((sum([wb_5:value],[wb_6:value],[wb_7:value],[wb_11:value],[wb_19:value],(6-[wb_26:value]))*4)/6)-4)*(100/16)))
@HIDDEN",,1,,1,DR,1,,
123,wb_social,whoqol_score_social,"Social Relationships domain	",Domínio social,Social domain score,questionrio_qualidade_de_vida,whoqol,text,,,,,,,," @CALCTEXT(if([wb_20]='' or [wb_21]='' or [wb_22]='','',((((sum([wb_20:value],[wb_21:value],[wb_22:value]))*4)/3)-4)*(100/16)))
@HIDDEN",,1,,1,DS,1,,
124,wb_environment,whoqol_score_environment,"Environment domain	",Domínio ambiental,Environmental domain score,questionrio_qualidade_de_vida,whoqol,text,,,,,,,," @CALCTEXT(if([wb_8]='' or [wb_9]='' or [wb_12]='' or [wb_13]='' or [wb_14]='' or [wb_23]='' or [wb_24]='' or [wb_25]='','',((((sum([wb_8:value],[wb_9:value],[wb_12:value],[wb_13:value],[wb_14:value],[wb_23:value],[wb_24:value],[wb_25:value]))*4)/8)-4)*(100/16)))
@HIDDEN",,1,,1,DT,1,,
125,wb_upload,pdf_upload_wb,PDF Upload,Upload PDF,PDF Upload,questionrio_qualidade_de_vida,whoqol,file,,,,,,,," @HIDDEN-SURVEY
@HIDDEN-PDF",,1,,1,DU,0,,
126,questionrio_qualidade_de_vida_complete,whoqol_complete,Complete?,Formulário questionrio_qualidade_de_vida completo?,Form questionrio_qualidade_de_vida complete?,questionrio_qualidade_de_vida,whoqol,radio,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,,1,,1,DV,1,"data$whoqol_complete.factor = factor(data$whoqol_complete,levels=c(""0"",""1"",""2"")) # whoqol_complete 80","levels(data$whoqol_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # whoqol_complete 75"
127,escore_de_depresso_ansiedade_e_estresse_timestamp,dass_timestamp,Survey Timestamp,Timestamp pesquisa,Survey timestamp,escore_de_depresso_ansiedade_e_estresse,dass,text,,,datetime_dmy,,,,,,,1,,1,DW,1,,
128,dass21_1,dass_1_not_calm,Achei difícil me acalmar,Dificuldade em acalmar,Difficulty calming down,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,DX,1,"data$dass_1_not_calm.factor = factor(data$dass_1_not_calm,levels=c(""0"",""1"",""2"",""3"")) # dass_1_not_calm 84","levels(data$dass_1_not_calm.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_1_not_calm 234"
129,dass21_2,dass_2_drymouth,Senti minha boca seca,Sentiu boca seca,Felt dry mouth,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,DY,1,"data$dass_2_drymouth.factor = factor(data$dass_2_drymouth,levels=c(""0"",""1"",""2"",""3"")) # dass_2_drymouth 84","levels(data$dass_2_drymouth.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_2_drymouth 234"
130,dass21_3,dass_3_not_positive,Não consegui vivenciar nenhum sentimento positivo,Sem sentimentos positivos,No positive feelings,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,DZ,1,"data$dass_3_not_positive.factor = factor(data$dass_3_not_positive,levels=c(""0"",""1"",""2"",""3"")) # dass_3_not_positive 92","levels(data$dass_3_not_positive.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_3_not_positive 238"
131,dass21_4,dass_4_hard_breath,"Tive dificuldade em respirar em alguns momentos (ex. respiração ofegante, falta de ar, sem ter feito nenhum esforço físico)",Dificuldade de respirar,Difficulty breathing,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EA,1,"data$dass_4_hard_breath.factor = factor(data$dass_4_hard_breath,levels=c(""0"",""1"",""2"",""3"")) # dass_4_hard_breath 90","levels(data$dass_4_hard_breath.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_4_hard_breath 237"
132,dass21_5,dass_5_no_initiative,Achei difícil ter iniciativa para fazer as coisas,Falta de iniciativa,Lack of initiative,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EB,1,"data$dass_5_no_initiative.factor = factor(data$dass_5_no_initiative,levels=c(""0"",""1"",""2"",""3"")) # dass_5_no_initiative 94","levels(data$dass_5_no_initiative.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_5_no_initiative 239"
133,dass21_6,dass_6_exaggeration,Tive a tendência de reagir de forma exagerada às situações,Reações exageradas,Exaggerated reactions,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EC,1,"data$dass_6_exaggeration.factor = factor(data$dass_6_exaggeration,levels=c(""0"",""1"",""2"",""3"")) # dass_6_exaggeration 92","levels(data$dass_6_exaggeration.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_6_exaggeration 238"
134,dass21_7,dass_7_tremor,Senti tremores (ex. nas mãos),Sentiu tremores,Felt tremors,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,ED,1,"data$dass_7_tremor.factor = factor(data$dass_7_tremor,levels=c(""0"",""1"",""2"",""3"")) # dass_7_tremor 80","levels(data$dass_7_tremor.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_7_tremor 232"
135,dass21_8,dass_8_nervous,Senti que estava sempre nervoso,Sentimento de nervosismo,Felt nervousness,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EE,1,"data$dass_8_nervous.factor = factor(data$dass_8_nervous,levels=c(""0"",""1"",""2"",""3"")) # dass_8_nervous 82","levels(data$dass_8_nervous.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_8_nervous 233"
136,dass21_9,dass_9_worry,Preocupei-me com situações em que eu pudesse entrar em pânico e parecesse ridículo (a),Preocupação com pânico/ridículo,Worry about panic/ridicule,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EF,1,"data$dass_9_worry.factor = factor(data$dass_9_worry,levels=c(""0"",""1"",""2"",""3"")) # dass_9_worry 78","levels(data$dass_9_worry.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_9_worry 231"
137,dass21_10,dass_10_no_desire,Senti que não tinha nada a desejar,Sem desejos,No desires,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EG,1,"data$dass_10_no_desire.factor = factor(data$dass_10_no_desire,levels=c(""0"",""1"",""2"",""3"")) # dass_10_no_desire 88","levels(data$dass_10_no_desire.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_10_no_desire 236"
138,dass21_11,dass_11_agitation,Senti-me agitado,Sentiu-se agitado,Felt agitated,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EH,1,"data$dass_11_agitation.factor = factor(data$dass_11_agitation,levels=c(""0"",""1"",""2"",""3"")) # dass_11_agitation 88","levels(data$dass_11_agitation.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_11_agitation 236"
139,dass21_12,dass_12_not_relaxed,Achei difícil relaxar,Dificuldade em relaxar,Difficulty relaxing,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EI,1,"data$dass_12_not_relaxed.factor = factor(data$dass_12_not_relaxed,levels=c(""0"",""1"",""2"",""3"")) # dass_12_not_relaxed 92","levels(data$dass_12_not_relaxed.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_12_not_relaxed 238"
140,dass21_13,dass_13_depression,Senti-me depressivo (a) e sem ânimo,Sentiu-se depressivo,Felt depressed,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EJ,1,"data$dass_13_depression.factor = factor(data$dass_13_depression,levels=c(""0"",""1"",""2"",""3"")) # dass_13_depression 90","levels(data$dass_13_depression.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_13_depression 237"
141,dass21_14,dass_14_intolerance,Fui intolerante com as coisas que me impediam de continuar o que eu estava fazendo,Intolerante com interrupções,Intolerance to interruptions,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EK,1,"data$dass_14_intolerance.factor = factor(data$dass_14_intolerance,levels=c(""0"",""1"",""2"",""3"")) # dass_14_intolerance 92","levels(data$dass_14_intolerance.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_14_intolerance 238"
142,dass21_15,dass_15_panic,Senti que ia entrar em pânico,Sentiu pânico,Felt panic,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EL,1,"data$dass_15_panic.factor = factor(data$dass_15_panic,levels=c(""0"",""1"",""2"",""3"")) # dass_15_panic 80","levels(data$dass_15_panic.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_15_panic 232"
143,dass21_16,dass_16_no_enthusiasm,Não consegui me entusiasmar com nada,Sem entusiasmo,Lack of enthusiasm,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EM,1,"data$dass_16_no_enthusiasm.factor = factor(data$dass_16_no_enthusiasm,levels=c(""0"",""1"",""2"",""3"")) # dass_16_no_enthusiasm 96","levels(data$dass_16_no_enthusiasm.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_16_no_enthusiasm 240"
144,dass21_17,dass_17_no_selfworth,Senti que não tinha valor como pessoa,Sentiu-se sem valor,Felt worthless,escore_de_depresso_ansiedade_e_estresse,dass,radio,"0, Não se aplicou de maneira alguma | 1, Aplicou-se em algum grau, ou por pouco de tempo | 2, Aplicou-se em um grau considerável, ou por uma boa parte do tempo | 3, Aplicou-se muito, ou na maioria do tempo",,,,,,y,,,1,,1,EN,1,"data$dass_17_no_selfworth.factor = factor(data$dass_17_no_selfworth,levels=c(""0"",""1"",""2"",""3"")) # dass_17_no_selfworth 94","levels(data$dass_17_no_selfworth.factor)=c(""Não se aplicou de maneira alguma"",""Aplicou-se em algum grau, ou por pouco de tempo"",""Aplicou-se em um grau considerável, ou por uma boa parte do tempo"",""Aplicou-se muito, ou na maioria do tempo"") # dass_17_no_selfworth 239"
